"mident","mois","actif","actifp","actifs","agea"
1100080001,13,0,0,0,54.166668
1100080001,14,0,0,0,54.25
1100080001,15,0,0,0,54.333332
1100080001,16,0,0,0,54.416668
1100080001,17,0,0,0,54.5
1100080001,18,0,0,0,54.583332
1100080001,19,0,0,0,54.666668
1100080001,20,0,0,0,54.75
1100080001,21,0,0,0,54.833332
1100080001,22,0,0,0,54.916668
1100080001,23,0,0,0,55
1100080001,24,0,0,0,55.083332
1100220001,13,1,1,0,26.416666
1100220001,14,1,1,0,26.5
1100220001,15,1,1,0,26.583334
1100220001,16,1,1,0,26.666666
1100220001,17,1,1,0,26.75
1100220001,18,1,1,0,26.833334
1100220001,19,0,0,0,26.916666
1100220001,20,0,0,0,27
1100220001,21,0,0,0,27.083334
1100220001,22,0,0,0,27.166666
1100220001,23,0,0,0,27.25
1100220001,24,0,0,0,27.333334
1100239001,13,1,1,0,48.666668
1100239001,14,1,1,0,48.75
1100239001,15,1,1,0,48.833332
1100239001,16,1,1,0,48.916668
1100239001,17,1,1,0,49
1100239001,18,1,1,0,49.083332
1100239001,19,1,1,0,49.166668
1100239001,20,1,1,0,49.25
1100239001,21,1,1,0,49.333332
1100239001,22,1,1,0,49.416668
1100239001,23,1,1,0,49.5
1100239001,24,1,1,0,49.583332
1100310001,13,1,1,0,52.666668
1100310001,14,1,1,0,52.75
1100310001,15,1,1,0,52.833332
1100310001,16,1,1,0,52.916668
1100310001,17,1,1,0,53
1100310001,18,1,1,0,53.083332
1100310001,19,1,1,0,53.166668
1100310001,20,1,1,0,53.25
1100310001,21,1,1,0,53.333332
1100310001,22,1,1,0,53.416668
1100310001,23,1,1,0,53.5
1100310001,24,1,1,0,53.583332
1100428001,13,1,1,0,56.083332
1100428001,14,1,1,0,56.166668
1100428001,15,1,1,0,56.25
1100428001,16,1,1,0,56.333332
1100428001,17,1,1,0,56.416668
1100428001,18,1,1,0,56.5
1100428001,19,1,1,0,56.583332
1100428001,20,1,1,0,56.666668
1100428001,21,1,1,0,56.75
1100428001,22,1,1,0,56.833332
1100428001,23,1,1,0,56.916668
1100428001,24,1,1,0,57
1100473101,13,1,1,1,54.416668
1100473101,14,1,1,1,54.5
1100473101,15,1,1,1,54.583332
1100473101,16,1,1,1,54.666668
1100473101,17,1,1,1,54.75
1100473101,18,1,1,1,54.833332
1100473101,19,1,1,1,54.916668
1100473101,20,1,1,1,55
1100473101,21,1,1,1,55.083332
1100473101,22,1,1,1,55.166668
1100473101,23,1,1,1,55.25
1100473101,24,1,1,1,55.333332
1100482001,13,1,1,0,50.583332
1100482001,14,1,1,0,50.666668
1100482001,15,1,1,0,50.75
1100482001,16,1,1,0,50.833332
1100482001,17,1,1,0,50.916668
1100482001,18,1,1,0,51
1100482001,19,1,1,0,51.083332
1100482001,20,1,1,0,51.166668
1100482001,21,1,1,0,51.25
1100482001,22,1,1,0,51.333332
1100482001,23,1,1,0,51.416668
1100482001,24,1,1,0,51.5
1100499001,13,1,1,0,24
1100499001,14,1,1,0,24.083334
1100499001,15,1,1,0,24.166666
1100499001,16,1,1,0,24.25
1100499001,17,1,1,0,24.333334
1100499001,18,1,1,0,24.416666
1100499001,19,1,1,0,24.5
1100499001,20,1,1,0,24.583334
1100499001,21,1,1,0,24.666666
1100499001,22,1,1,0,24.75
1100499001,23,1,1,0,24.833334
1100499001,24,1,1,0,24.916666
1100547001,13,0,0,0,41
1100547001,14,0,0,0,41.083332
1100547001,15,0,0,0,41.166668
1100547001,16,0,0,0,41.25
1100547001,17,0,0,0,41.333332
1100547001,18,0,0,0,41.416668
1100547001,19,0,0,0,41.5
1100547001,20,0,0,0,41.583332
1100547001,21,0,0,0,41.666668
1100547001,22,0,0,0,41.75
1100547001,23,0,0,0,41.833332
1100547001,24,0,0,0,41.916668
1100662001,13,1,1,0,28.666666
1100662001,14,1,1,0,28.75
1100662001,15,1,1,0,28.833334
1100662001,16,1,1,0,28.916666
1100662001,17,1,1,0,29
1100662001,18,1,1,0,29.083334
1100662001,19,1,1,0,29.166666
1100662001,20,1,1,0,29.25
1100662001,21,1,1,0,29.333334
1100662001,22,1,1,0,29.416666
1100662001,23,1,1,0,29.5
